term,no_context,basic_context,no_context_percentile,basic_context_percentile
essentially bounded,0.9518354928880612,0.97138944362247,74.84375,85.46875
Euclidean domain,0.946858700909115,0.9612120793315425,66.09375,51.24999999999999
Euclidean inner product,0.939776294378585,0.9592095599593278,51.24999999999999,41.40625
Euler characteristic,0.9502589916178754,0.952509258785353,71.40625,19.84375
Euler characteristic of a graph,0.9632034093825305,0.954013772532362,87.8125,24.0625
Euler's formula,0.9121218838413835,0.9614142778033209,15.937499999999998,52.5
Euler's totient function,0.9711231689209915,0.9801213544978278,93.4375,96.71875
exponent of a finite group,0.9473407670646126,0.9545107023445106,66.71875,25.78125
extended real numbers,0.9367867169230677,0.9708309178179094,46.5625,84.0625
extended-form game,0.9251651422818018,0.9444818089662174,28.281250000000004,6.25
extension,,,,
extensions,,,,
exterior,,,,
exterior power of a vector space,0.960910354934447,0.9754855503676995,85.15625,92.34375
exterior power of group representations,0.9700920872019427,0.9723145465011652,92.1875,87.03125
exterior power of linear transformation,0.9604951268241995,0.9737901907052505,84.6875,89.84375
exterior product,0.9290089688652459,0.9552150742666874,33.75,27.03125
F-conjugate,,,,
faithful group action,0.9494609404606305,0.9641144781138241,69.6875,65.3125
field,,,,
field embedding,0.9502229007162988,0.9643815382046103,71.09375,65.78125
field extension,0.9313727600481845,0.9506483990516221,36.71875,16.09375
field extensions,0.9307926278841497,0.9586217609406376,36.40625,39.375
fields,,,,
finite length R-module,0.960674721540451,0.9765057564450981,84.84375,93.59375
finitely generated R-module,0.95741703715267,0.969577438226721,81.71875,81.40625
fixed field,0.90708070522002,0.9511320071674884,10.0,17.03125
form,,,,
fraction ring,0.894676173075428,0.9262074708858147,3.28125,0.0
Frattini subgroup,0.9289139721851686,0.9403133745107118,33.59375,2.5
free,,,,
free group,0.9119886330158153,0.9589652390940397,15.625,40.625
free group action,0.9532694393542566,0.9647354109889408,76.875,67.5
free module,0.9333586226667965,0.9536208985202186,41.25,22.65625
free vector space,0.9490321018065238,0.9696294077551753,68.90625,81.71875
Frobenius endomorphism,0.9513984796332204,0.9555761431742484,73.90625,27.968749999999996
functional,,,,
functor,,,,
fundamental group,0.8723283857075697,0.9510962284076337,0.9375,16.875
fundamental groups,0.898448708853189,0.9489780480395384,4.375,12.65625
Fundamental Theorem of Finitely Generated Abelian Groups,0.9757059279784084,0.9744999193981501,95.9375,91.09375
G-harmonic polynomial,0.9415556966378003,0.9536635230023665,55.625,22.8125
G-invariant function,0.9531726300170161,0.9690837050265232,76.71875,80.625
G-invariant subspace,0.9549757788155995,0.9631903999797491,79.0625,60.78125
G-invariant vectors,0.9582502601116132,0.9713680009524516,82.65625,85.3125
G-set,,,,
G-space,,,,
Gale-Stewart game,0.9297420510220428,0.9432294024881428,34.84375,4.21875
Galois,,,,
Galois extension,0.9315729236236443,0.9610190882726045,37.5,50.15625
Galois group,0.9280433559543545,0.972508205794369,32.5,87.5
Galois group of a polynomial,0.9636772956563245,0.965969160890799,88.28125,71.71875
game,,,,
Gaussian integers,0.926469835839851,0.9505448983080104,30.15625,15.46875
general linear,0.9283538920667773,0.9640357891712656,33.125,64.53125
general linear algebra,0.9423278334699834,0.9687296577746448,57.1875,79.53125
general linear group,0.9560459634028353,0.969419054055752,80.15625,81.25
generalized orthogonal group,0.9615180013483732,0.9676235395070758,85.9375,77.03125
generate,,,,
generate a field,0.9139895694665932,0.9530013037821216,17.34375,20.9375
generate a generated,0.9761363638950559,0.9812987615062234,96.5625,97.34375
generate a ring ideal,0.9462908877565221,0.9635465322210703,65.46875,62.96874999999999
generate a topology,0.9276393756346459,0.9489076521779035,32.03125,12.1875
generate a σ-algebra,0.9461227418611979,0.9546456711212853,65.3125,26.09375
generate an algebra ideal,0.9454821462909977,0.9515858546106599,63.74999999999999,17.5
generate an associative algebra,0.945607035964196,0.9588681618473269,64.21875,40.15625
generate an R-module,0.9374806628606724,0.9630851765948041,47.65625,60.3125
generated,,,,
generates,,,,
generating set,0.9180064326345971,0.955958946022629,20.625,30.15625
generating set of a group,0.9502539822672753,0.9528564437951552,71.25,20.46875
generator,,,,
geometrically independent,0.9198388601495825,0.9553397237174208,22.96875,27.34375
gradient,,,,
graph,,,,
graph of a function,0.9339544432224494,0.9522654484825964,42.1875,19.21875
greater than,0.9523256814087384,0.9769335879181847,75.46875,94.21875
greatest common divisor,0.9413016145943229,0.9677606756915249,54.84375,77.34375
group,,,,
group action,0.8981327872344156,0.9556447280492578,4.21875,28.125
group action invariants,0.9485631297781008,0.9631639026318332,68.28125,60.46875000000001
group homomorphism,0.953604708828212,0.9685013963235832,77.34375,79.21875
group representation,0.9116968250670977,0.9604183494966666,15.156249999999998,46.875
group representations,0.9176251521566883,0.957463935205362,20.3125,35.625
group ring,0.894367802075755,0.9500427045840308,3.125,14.0625
group word,0.9086480031256636,0.962559430895136,11.5625,57.8125
group's,,,,
groups,,,,
Haar integral,0.9313240428008077,0.927949777642106,36.5625,0.15625
Haar measure,0.9382590051060534,0.9431518031052342,48.90625,4.0625
half space,0.9005066926539131,0.9641103143634995,5.9375,65.15625
Hamel basis,0.9337445263383382,0.9443357990213096,41.71875,5.78125
Hardy-Littlewood maximal operator,0.9660642625716046,0.9649854490210046,90.46875,68.75
harmonic function,0.9110753667784494,0.9562082442350879,14.531250000000002,31.5625
harmonic polynomial,0.9071307584815946,0.9406127735933427,10.15625,2.65625
Hausdorff,,,,
here,,,,
Hermitian,,,,
Hermitian adjoint,0.9405409595177306,0.9571862809228902,53.43750000000001,34.6875
Hermitian inner product,0.943910005162042,0.9618294304094324,60.9375,54.6875
Hessian matrix,0.9316663130107243,0.9486011945538402,37.65625,11.875
Hilbert space,0.9020300386742921,0.949352982813324,6.875000000000001,13.28125
holomorphic,,,,
homeomorphic,,,,
homeomorphism,,,,
homogeneous relation,0.9263230615435396,0.9640532284645255,30.0,64.84375
homomorphism,,,,
homomorphism of Lie groups,0.9676628363205408,0.9766594432576918,91.40625,93.90625
homomorphisms,,,,
homotopy,,,,
homotopy equivalence of paths,0.9658347298135681,0.9602875265596483,90.15625,45.78125
homotopy equivalent,0.9389043769904972,0.9391541003734772,50.15625,2.03125
ideal,,,,
ideal of a Lie algebra,0.9260236203698449,0.9502663289620457,29.375,14.84375
ideals,,,,
ideals they generate,0.9566219640827918,0.9709666220801818,80.625,84.6875
idempotent,,,,
identities,,,,
identity,,,,
identity component,0.9220995127644602,0.958052990089798,25.624999999999996,37.65625
identity element,0.9250859582489895,0.9564779235101262,27.968749999999996,32.1875
